hsa:1	hsa:A1BG
hsa:100422913	hsa:MIR320E
hsa:100422914	hsa:MIR4253
hsa:100422915	hsa:MIR3065
hsa:100422916	hsa:MIR3201
hsa:100422917	hsa:MIR4283-1
hsa:100422918	hsa:MIR3167
hsa:100422919	hsa:MIR1302-11
hsa:100422920	hsa:MIR548X
hsa:100422921	hsa:MIR3149
hsa:100422922	hsa:MIR1972-2
hsa:100422923	hsa:MIR548W
hsa:100422924	hsa:MIR4303
hsa:100422925	hsa:MIR4322
hsa:100422926	hsa:MIR3137
hsa:100422927	hsa:MIR4291
hsa:100422928	hsa:MIR3127
hsa:100422929	hsa:MIR4261
hsa:100422930	hsa:MIR4330
hsa:100422931	hsa:MIR4304
hsa:100422932	hsa:MIR4328
hsa:100422933	hsa:MIR378B
hsa:100422934	hsa:MIR3143
hsa:100422935	hsa:MIR3118-4
hsa:100422936	hsa:MIR3153
hsa:100422937	hsa:MIR4275
hsa:100422938	hsa:MIR3142
hsa:100422939	hsa:MIR3147
hsa:100422940	hsa:MIR4305
hsa:100422941	hsa:MIR4272
hsa:100422942	hsa:MIR3133
hsa:100422943	hsa:MIR3189
hsa:100422944	hsa:MIR3186
hsa:100422945	hsa:MIR4326
hsa:100422946	hsa:MIR3116-2
hsa:100422947	hsa:MIR3122
hsa:100422948	hsa:MIR4284
hsa:100422949	hsa:MIR3118-2
hsa:100422950	hsa:MIR3141
hsa:100422951	hsa:MIR3144
hsa:100422952	hsa:MIR4271
hsa:100422953	hsa:MIR3165
hsa:100422954	hsa:MIR4309
hsa:100422955	hsa:MIR4273
hsa:100422956	hsa:MIR3180-2
hsa:100422957	hsa:MIR3131
hsa:100422959	hsa:MIR4268
hsa:100422960	hsa:MIR3179-1
hsa:100422961	hsa:MIR4315-2
hsa:100422962	hsa:MIR4281
hsa:100422963	hsa:MIR4290
hsa:100422964	hsa:MIR3150A
hsa:100422965	hsa:MIR4263
hsa:100422966	hsa:MIR4277
hsa:100422967	hsa:MIR3146
hsa:100422968	hsa:MIR4251
hsa:100422969	hsa:MIR2909
